id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,num_leaves,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
I4D9ES2E0U,105,inicialization,0.08013378899220014,1.0,0.4,5,3,5,0,4,21,5,3
CUJESA0M5F,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0,4,14,2,4
QAF13WT9E9,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0,5,12,4,7
HC24CO3ISQ,105,inicialization,0.08013378899220014,1.0,0.4,4,3,4,1,3,14,5,3
64JAH2MED8,105,inicialization,0.0,1.0,0.0,4,3,4,1,4,16,5,7
1CILODXL4E,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,3,4,3,5
86NHJSN2R0,105,inicialization,0.08013378899220014,1.0,0.4,4,3,4,0,4,22,4,2
7O7QUJZBJQ,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,4,9,3,7
3J4WMGQCD6,105,inicialization,0.21553545944726393,0.2272727272727273,0.4571428571428571,3,2,3,0,4,11,3,5
9Y4N4A33BV,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,4,22,2,5
7PJZ3P0C5Q,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0,3,21,4,8
C1G0YLYK3K,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,3,11,3,5
890V9E154K,105,inicialization,0.08013378899220014,1.0,0.4,6,4,6,1,5,19,6,1
SG7EJIX2HD,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,5,35,4,8
7GLE86KXHA,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,3,34,3,7
CFQRVWFFCV,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,5,31,3,3
UKI8UP5F4W,105,inicialization,0.1679497056621564,1.0,0.5714285714285714,5,3,5,1,3,4,5,2
XKYBPZEJQY,105,inicialization,0.1679497056621564,1.0,0.5714285714285714,4,3,4,1,3,34,6,2
LC752LU8TW,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,27,7,8
AHFSSG1G3O,105,inicialization,0.08013378899220014,1.0,0.4,6,4,6,1,4,9,7,2
96BSUIKICF,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0,3,17,2,4
OK47ZHFVZG,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,4,33,5,7
7QFYPYQMRV,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,4,10,3,7
Z369AWM77S,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,4,29,4,4
3KWW4C79GL,105,inicialization,0.09417837268432339,1.0,0.33333333333333337,6,4,6,0,4,10,7,5
1CP3ASBEW7,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0,4,29,2,4
837Y6QYDJD,105,inicialization,0.09417837268432339,1.0,0.33333333333333337,5,3,5,0,3,6,7,8
3XJ1GY01MQ,105,inicialization,0.21553545944726393,0.2272727272727273,0.4571428571428571,5,4,5,0,4,18,5,5
65J6TMQHCY,105,inicialization,0.0,1.0,0.0,4,3,4,1,3,7,7,8
LIL1X0J9AY,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,4,34,3,4
EOYV6HTSQR,105,inicialization,0.08013378899220014,1.0,0.4,6,4,6,0,4,12,6,2
WCGYP175NP,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,4,26,7,8
7S3UAU8WTV,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,4,18,2,9
QGCNAA6EEP,105,inicialization,0.08013378899220014,1.0,0.4,4,3,4,0,5,26,4,2
ZVBEQNHM0O,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,6,3,8
