id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
MOG7QH39Q5,inicialization,0.40359543402054143,0.017316017316017285,0.23468507333908545,19,0,9,35,19,2
FONVNUCILO,inicialization,0.4532685970251986,0.06017316017316021,0.22619047619047622,26,1,7,24,104,2
TEWX3AOE1W,inicialization,0.4009068949262228,0.041991341991342024,0.1760601180891036,23,1,5,9,53,2
JC986VXYB5,inicialization,0.4201037762033245,0.10822510822510822,0.11224489795918369,29,1,6,12,60,5
D1TOTZ404T,inicialization,0.7371234931482844,1.0,0.6666666666666667,21,0,8,37,56,9
OFMJDFXKH5,inicialization,0.4308262551369436,0.030735930735930728,0.22705992509363293,16,0,4,12,62,2
7Y6UU2TIH3,inicialization,0.4271908239069324,0.15367965367965367,0.048062015503875954,25,0,9,39,67,5
MTBH9OV82M,inicialization,0.40539454691595367,0.021645021645021578,0.25108038029386337,32,0,11,30,32,1
OPJDOUSE1W,inicialization,0.40878263975502027,0.11038961038961037,0.125,38,1,13,4,38,3
ZK1XCDPW7K,inicialization,0.3841519808884404,0.05194805194805194,0.25454545454545463,15,1,7,17,15,6
2TN768J0T8,inicialization,0.427892652852657,0.17402597402597403,0.03324468085106386,25,1,6,17,42,4
T6BKS7V8J8,inicialization,0.49689593493866757,0.011255411255411255,0.06666666666666676,19,1,5,22,20,6
FYTXAM4LY7,inicialization,0.4330659451229366,0.043290043290043295,0.3434343434343434,41,1,8,15,41,7
ZQHAIE9LRA,inicialization,0.5372449613526706,0.016017316017316013,0.3571428571428571,41,1,10,18,47,8
CKB557EE7Q,inicialization,0.4220701199132889,0.04458874458874457,0.2516746411483254,34,0,10,25,48,2
GYV4OSZ46C,inicialization,0.3849135633958084,0.006493506493506496,0.33571428571428574,25,1,8,36,54,6
LJ7QLMZ1TY,inicialization,0.4711991172056974,0.030735930735930728,0.18382913806254764,34,1,8,19,78,2
OM2BCXQAOU,inicialization,0.4126461042081744,0.15584415584415584,0.07058823529411762,32,1,8,26,32,4
GIBFU4NY26,inicialization,0.46017080311891556,0.014718614718614798,0.17619047619047618,33,1,10,34,38,2
BOIFJO3A72,inicialization,0.4621591310420765,0.07445887445887445,0.04545454545454547,36,0,11,9,36,5
33KE11SZWU,inicialization,0.5760611842978367,1.0,0.6923076923076923,30,0,12,28,30,8
5SRG3RO11F,inicialization,0.5110707330877085,0.004329004329004321,0.27631578947368424,49,0,9,12,74,9
KVVS57QYZ7,inicialization,0.44972826513776387,0.06103896103896103,0.2692307692307693,54,0,8,5,68,7
BT7GNE2DSN,inicialization,0.7723422670083003,1.0,0.6666666666666667,12,0,4,33,35,9
FRA4KC8PBC,inicialization,0.3971186545429132,0.05194805194805194,0.16666666666666663,14,0,4,12,90,7
17SIG2MGHI,inicialization,0.626798316655657,1.0,0.16666666666666663,8,1,3,28,41,6
H3Q0V2TDXH,inicialization,0.4281267872382134,0.13722943722943726,0.3227513227513228,13,0,6,30,13,2
TIBWSCXWEF,inicialization,0.44127505543407786,0.04502164502164502,0.39,47,0,11,17,57,7
0L2E8OPR7O,inicialization,0.4330659451229366,0.05800865800865801,0.1764705882352941,20,1,6,38,65,3
U2AAKTMM2F,inicialization,0.5139552967104553,0.011255411255411255,0.08571428571428574,14,1,4,18,36,7
VTU1AZOIVI,inicialization,0.4223018944885162,0.015151515151515138,0.125,30,0,8,34,60,3
OUIFWEEU3N,inicialization,0.38328275248249855,0.0783549783549784,0.26382546930492135,7,1,10,26,7,3
IP4XPBN3IK,inicialization,0.4271908239069324,0.008225108225108246,0.28375,5,0,12,5,5,2
UPYOASAY5A,inicialization,0.4153886276541986,0.09047619047619046,0.35672514619883045,52,0,9,12,88,8
EJKIMTUJL0,inicialization,0.4711991172056974,0.030735930735930728,0.18382913806254764,34,1,8,19,76,2
4E54Q8U89Q,inicialization,0.43271172199879415,0.07186147186147185,0.18325791855203621,48,1,10,13,82,3
LVK5E8WUVS,inicialization,0.5391299184283567,0.025108225108225107,0.3904761904761904,21,0,5,13,104,8
0ZXTR5HOWE,inicialization,0.4225337620898736,0.017316017316017285,0.25691347011596793,28,0,11,36,106,2
OP2LVG3UDV,inicialization,0.557210348163597,0.025108225108225107,0.42857142857142855,22,0,6,22,48,7
D60Y4W5N99,crossover,0.427892652852657,0.11731601731601732,0.11702127659574468,20,1,7,28,20,5
Q5FSQ5TH4H,crossover,0.4340116239378957,0.09913419913419913,0.08666666666666667,20,0,6,24,20,4
2R2HY9IDQ9,mutation,0.4223018944885162,0.015151515151515138,0.24861265260821314,43,1,9,18,59,5
IO0T4SH9WE,crossover,0.400013392408738,0.1398268398268398,0.1271186440677966,31,1,7,18,48,4
QW6RQ1U1E1,crossover,0.5139552967104553,0.011255411255411255,0.08571428571428574,21,1,5,11,26,6
GB0AE9TFVH,crossover,0.5139552967104553,0.011255411255411255,0.08571428571428574,20,1,5,9,20,6
GTHFT8ZC68,crossover,0.4405564378450305,0.016017316017316013,0.2777777777777777,27,1,10,10,27,7
J0HST26RA7,crossover,0.40202565053379924,0.07186147186147185,0.18518518518518523,24,0,10,10,24,4
3U6P6V0DJ6,crossover,0.45180085907428547,0.07662337662337662,0.08974358974358976,16,1,5,35,62,5
AZKPY3DETZ,crossover,0.4405564378450305,0.048917748917748916,0.23397435897435892,12,0,4,32,57,2
0DMJDELZZN,crossover,0.43590773772940683,0.038961038961038974,0.31550802139037437,53,1,12,10,53,7
H7VP4C2UFM,crossover,0.4333022168793438,0.08658008658008659,0.3882352941176471,40,1,11,10,40,5
CMI0IU431Q,mutation,0.42485757931513457,0.012987012987012991,0.2382978723404255,45,1,9,13,45,5
QNP0WX3AHL,mutation,0.45339108641913517,0.03116883116883118,0.06324110671936756,37,0,9,9,37,4
XEM0K7L3TP,mutation,0.4557236224637644,0.09437229437229433,0.16220880069025018,44,1,8,8,86,2
C08NSXXLEA,mutation,0.3815479607363029,0.005627705627705648,0.21155885471898195,26,0,6,8,84,1
8HAYMTD26C,crossover,0.4385253493582769,0.04805194805194807,0.36764705882352944,34,1,11,28,47,5
Y1OCV8QZGX,mutation,0.42742467130434614,0.1333333333333333,0.011538461538461553,33,1,10,27,42,4
MZZQP29424,mutation,0.3849135633958084,0.006493506493506496,0.33571428571428574,24,1,8,23,24,6
JL4Q5YN5S5,crossover,0.4309439137934695,0.10822510822510822,0.07891156462585036,19,1,6,21,19,4
IRYG4VWRZS,crossover,0.4309439137934695,0.10822510822510822,0.125,30,1,7,19,54,5
IGX8J33J3X,crossover,0.427892652852657,0.17402597402597403,0.03324468085106386,25,1,6,17,30,4
KRD34PKKR9,crossover,0.4071991199792111,0.17835497835497838,0.10952380952380952,17,1,10,28,17,4
0IINO7651J,crossover,0.4225337620898736,0.074025974025974,0.22241379310344833,11,0,9,28,11,4
6I475SA6IM,crossover,0.4201037762033245,0.10822510822510822,0.11224489795918369,32,1,12,32,94,4
98PQDV4N6U,crossover,0.43912196481807386,0.05367965367965366,0.06015037593984962,37,0,11,23,80,3
XQN4RXYZF9,crossover,0.40878263975502016,0.08095238095238094,0.1520532741398446,44,1,9,16,67,4
7407NP0ORU,crossover,0.4340116239378957,0.04242424242424242,0.17333333333333334,35,0,8,15,35,4
OCQPG0WR4D,crossover,0.47475668395754467,0.08571428571428569,0.1111111111111111,34,0,8,28,62,5
CW9CUQ8PTX,crossover,0.43912196481807386,0.00303030303030305,0.14912280701754388,34,0,8,26,51,4
7XOMA3S0SB,mutation,0.44972826513776387,0.06103896103896103,0.12857142857142856,45,1,9,13,93,8
JDFZRHZGNT,crossover,0.44972826513776387,0.06103896103896103,0.12857142857142856,45,1,9,13,91,8
Q821JQT44C,crossover,0.3849135633958084,0.006493506493506496,0.33571428571428574,26,1,10,38,67,6
3KVMRELZW7,crossover,0.4401974749834854,0.042857142857142844,0.3357142857142857,25,0,8,36,39,6
VOPG6R516F,crossover,0.41355885362646694,0.008658008658008642,0.3025210084033614,65,1,10,7,91,7
57395KOD96,crossover,0.3893933359419953,0.11038961038961037,0.14035087719298245,42,1,7,7,89,4
ZC5U6MPQLF,crossover,0.37251898621575597,0.047186147186147165,0.3055555555555555,38,1,9,23,48,6
YN6ZF1TMLU,crossover,0.49503602447341155,0.06103896103896103,0.3125,25,0,7,23,35,6
X2O7S63R4D,crossover,0.4621591310420765,0.017748917748917736,0.1143790849673203,31,0,13,12,31,
LZDXJKE2U2,crossover,0.4181440775842805,0.09437229437229433,0.19047619047619052,48,0,8,9,106,2
2E4VUA0JF7,crossover,0.45180085907428547,0.07662337662337662,0.08974358974358976,13,1,9,22,13,5
XESJTYE5KM,mutation,0.4491201626924415,0.08571428571428569,0.07894736842105265,7,1,7,20,7,5
2OUP70CAI1,mutation,0.626798316655657,1.0,0.16666666666666663,8,1,3,26,71,7
T654CLK3AT,mutation,0.8685617465741422,1.0,1.0,8,0,3,15,71,7
VKBD6NZPAO,crossover,0.5391299184283567,0.025108225108225107,0.3904761904761904,21,0,6,27,65,7
41AU27XPI4,mutation,0.5553993399844084,0.016017316017316013,0.33333333333333337,17,0,5,22,53,7
0EZVL5GJEA,crossover,0.4520452090489503,0.06147186147186147,0.375,29,1,6,9,83,7
MSTRPMUUXD,mutation,0.4220701199132889,0.10129870129870128,0.18086124401913872,23,1,5,9,64,4
6HJXDTT2FF,crossover,0.4445203390976632,0.022077922077922085,0.2590909090909091,48,1,9,6,48,5
9M4QD4EB8M,crossover,0.4220701199132889,0.10129870129870128,0.18086124401913872,24,0,5,6,45,4
PS7M4BSE75,crossover,0.4333022168793438,0.02683982683982683,0.39285714285714285,37,1,9,22,67,7
DD8HUOCK3N,crossover,0.4026979097114447,0.011688311688311692,0.35238095238095235,36,1,8,21,66,6
6C9L6IQCW3,crossover,0.4491201626924415,0.1424242424242424,0.030701754385964897,14,0,10,17,14,5
BMIO35SUXS,mutation,0.4225337620898736,0.074025974025974,0.22241379310344833,11,0,8,14,11,4
372THD6T0Q,crossover,0.4225337620898736,0.074025974025974,0.15000000000000002,27,1,10,24,27,3
6QCC9OO1J9,crossover,0.4231138388188118,0.0783549783549784,0.17123287671232879,19,0,9,19,19,3
3JFOS0ZFV7,mutation,0.4498499662859651,0.10692640692640693,0.475095785440613,40,1,8,15,45,6
L3OIL6AXOB,crossover,0.400013392408738,0.0025974025974025983,0.3374384236453202,33,1,8,20,33,6
L9ETFD4Y4V,crossover,0.4152740990269179,0.011688311688311692,0.29838709677419356,38,1,9,9,38,6
8WRDOWFLGR,crossover,0.4543719914959258,0.09956709956709955,0.28888888888888886,26,0,7,6,26,6
XC3KOERAY8,crossover,0.39313335069486843,0.020779220779220786,0.3806451612903226,32,1,8,24,65,6
H0WQ67MCMZ,crossover,0.4220701199132889,0.10129870129870128,0.18086124401913872,19,0,5,18,36,4
95GBAR4NOM,mutation,0.5590287938419265,0.0341991341991342,0.5811965811965811,42,0,10,22,66,8
QFLT7NT9XQ,crossover,0.5429231523293081,0.07012987012987013,0.34265734265734266,36,0,8,20,45,8
5QDUMA320P,crossover,0.3924716750675028,0.11298701298701297,0.20588235294117652,63,1,9,3,83,7
OXRDBAYOHY,mutation,0.4750117183576458,0.15367965367965367,0.005628517823639767,73,0,9,3,80,4
EKXUGLWP47,crossover,0.557210348163597,0.025108225108225107,0.5555555555555556,34,0,8,24,50,8
U3HL7F31QJ,crossover,0.5726004018494362,1.0,0.6363636363636364,29,0,7,23,41,8
RVV30T9RXN,crossover,0.42742467130434614,0.1333333333333333,0.011538461538461553,34,1,10,24,34,4
3FSH8ID9K5,crossover,0.44960659089971244,0.08528138528138524,0.15622389306599832,21,0,6,24,27,3
Y9IJXWTC24,crossover,0.523696659570895,0.0341991341991342,0.5428571428571429,33,0,10,16,33,7
RIYZVRQSBZ,mutation,0.5296383059721111,0.10865800865800865,0.2666666666666666,28,0,7,16,28,7
6QKRKY0W4X,crossover,0.4543719914959258,0.013852813852813853,0.4461538461538461,28,1,7,22,86,7
NL84V9U0NO,mutation,0.4992974000348187,0.15627705627705626,0.2666666666666666,35,0,7,12,85,6
CAUR1WQYK6,crossover,0.417913958563057,0.09264069264069263,0.29847494553376913,27,1,12,24,27,7
GC4VLGIKZA,crossover,0.557210348163597,0.025108225108225107,0.42857142857142855,15,0,11,18,15,7
YZKPYG1UU3,crossover,0.6087538837209818,1.0,0.4,17,1,5,30,66,7
P0Q95BGE0T,crossover,0.3971186545429132,0.05194805194805194,0.16666666666666663,13,0,4,29,56,7
0DR9P60KAP,crossover,0.5590287938419265,0.0341991341991342,0.5811965811965811,45,0,13,23,51,8
Q5N8IZ4O0B,mutation,0.4022496529201818,0.033766233766233764,0.3949579831932773,43,0,12,13,43,8
97FUTEEIGA,crossover,0.4390025909665185,0.06060606060606061,0.21467391304347827,31,1,8,27,51,5
PL740BASPW,mutation,0.4354331122670041,0.03549783549783547,0.15517241379310343,30,0,8,21,30,4
MXPXIT1EPR,crossover,0.4543719914959258,0.013852813852813853,0.4461538461538461,29,1,8,28,29,7
LWE6RGDQM4,mutation,0.49503602447341155,0.06103896103896103,0.3125,17,0,7,25,17,6
GAF1760MSO,mutation,0.738144376643169,1.0,0.75,14,0,4,22,38,8
Y2K4KO26R9,crossover,0.8680532794784902,1.0,1.0,8,0,3,15,37,8
3YFQDVW6AI,crossover,0.4309439137934695,0.10822510822510822,0.125,25,1,7,36,44,5
V46WB5KXMM,crossover,0.45058073929001596,0.09696969696969696,0.06618962432915926,28,0,7,31,37,5
J1KDTR9ZCF,crossover,0.42953361154088054,0.08095238095238094,0.13461538461538464,28,0,12,36,62,4
LYJI87FKRA,mutation,0.4223018944885162,0.015151515151515138,0.125,33,0,12,28,56,3
5LZB1I36QF,crossover,0.6843444773180767,0.006926406926406926,0.55,32,1,10,31,75,9
WBK6GEZEJL,crossover,0.5795504519937713,0.013419913419913415,0.39285714285714285,18,1,5,28,64,8
M2UK0N4LMJ,crossover,0.5553993399844084,0.016017316017316013,0.39560439560439553,14,0,6,19,14,7
JTMRFC8Y6O,crossover,0.5726004018494362,0.006926406926406926,0.33333333333333337,12,0,6,18,12,7
OD2SDTZHYH,crossover,0.38219793678478453,0.01558441558441559,0.3185185185185186,28,1,7,23,93,6
45V9NLVYCW,crossover,0.39291271202213407,0.10129870129870128,0.147005444646098,33,1,7,15,93,4
JULIAXM86U,crossover,0.47475668395754467,0.08571428571428569,0.1111111111111111,26,0,10,33,26,5
QIGPSFQY1U,crossover,0.43271172199879415,0.015151515151515138,0.08653846153846156,26,0,9,25,26,3
230W2UPIDS,crossover,0.5189405023730107,0.07445887445887445,0.12068965517241381,43,0,9,20,48,5
L3IXX9HY9W,crossover,0.4621591310420765,0.08095238095238094,0.12666666666666665,44,0,9,19,44,4
9T9MI133H6,crossover,0.4144730258835445,0.014718614718614798,0.18840579710144928,19,1,5,18,49,2
CVVTVWAAQC,crossover,0.4149306476604617,0.021645021645021634,0.22113022113022107,22,0,5,13,49,2
XF31C2QDQI,mutation,0.46378007625995843,0.0632034632034632,0.36969696969696964,38,0,9,19,44,6
TYC1BNO582,mutation,0.483887573330543,0.15627705627705626,0.22916666666666663,34,0,7,13,39,6
7BN242M71F,mutation,0.4543719914959258,0.013852813852813853,0.4461538461538461,31,1,8,28,40,7
BGAFMCVT47,mutation,0.427892652852657,0.11731601731601732,0.11702127659574468,24,1,7,25,24,5
WRLVKULHB4,mutation,0.42953361154088054,0.024242424242424232,0.25490196078431376,37,1,9,22,71,5
F6YQU4L0PF,crossover,0.42953361154088054,0.024242424242424232,0.25490196078431376,37,1,9,21,71,5
