id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
1U6L3A89FW,nsga2,100,mutation,0.3319629179327301,0.1096390585754597,0.0272736351833524,14,6,14,0.3420516744905197,0.1193544641820503,0.0568032506321286,14,1,16,19,14,4.0
TLDWVPGFZM,nsga2,100,crossover,0.7128267285894512,0.0025582188594995,0.1959361393323657,40,11,40,0.6981895926855604,0.0013683634373289,0.0476190476190475,40,1,15,15,40,9.0
ZD4728ECOW,nsga2,100,crossover,0.4850655969555705,0.0496914633011876,0.0309597523219813,89,15,89,0.4750494647388174,0.0173243104277587,0.073741856293079,89,0,15,20,89,7.0
40OS9G04W9,nsga2,100,crossover,0.5568464144820384,0.0292489689602778,0.1029411764705882,76,12,76,0.5215117585121908,0.0137997379376689,0.0731292517006803,76,1,12,17,76,8.0
6VHC8R7HFN,nsga2,100,mutation,0.6587808350138237,0.0119848677478371,0.0813397129186603,93,10,93,0.636222010236512,0.0015591050073808,0.0481553398058252,93,1,10,19,93,9.0
R42B0NUJVI,nsga2,100,crossover,0.6303439541004768,0.0235123569723092,0.0231107850330153,87,15,87,0.6157341048328948,0.0020483986001227,0.0790960451977401,87,1,15,16,87,9.0
7XEW1TX3R9,nsga2,100,crossover,0.7357705113237283,0.0037443021489038,0.2179487179487179,36,9,36,0.7025017041718989,0.0029357615564512,0.0286738351254479,36,1,12,19,36,9.0
4ZVFY30KUB,nsga2,100,mutation,0.3344144384292828,0.1411284070823901,0.0091459466459465,21,6,21,0.3489237097353076,0.1108540246471281,0.0307470875755877,21,0,14,17,21,5.0
SKT0GD4YH4,nsga2,100,mutation,0.6632545704441619,0.0098840274117026,0.1447368421052631,64,11,64,0.6459311891585706,0.0080277321656632,0.0073432992394439,64,1,11,16,64,9.0
EXNFCW4HIX,nsga2,100,mutation,0.7007275881776454,0.0193649415485751,0.0520833333333333,47,12,47,0.6830380201372341,0.0023469506228126,0.0311566367904395,47,1,12,20,47,9.0
W9U7WJ2R9C,nsga2,100,crossover,0.6388591952959357,0.0103956711836025,0.16504329004329,50,9,50,0.5906802379891183,0.0099849065366306,0.0601503759398496,50,1,9,15,50,8.0
P7XOSYZ2FA,nsga2,100,crossover,0.6369161947268485,0.0067056342832335,0.1753952569169959,49,9,49,0.5896227238584812,0.0046939012456253,0.089844893181153,49,1,9,18,49,8.0
MN10P4N31E,nsga2,100,mutation,0.5343855886255083,0.0329390058606468,0.0529871977240398,112,14,112,0.4980154496913763,0.0147783251231527,0.0798771121351766,112,1,15,19,112,8.0
LEQRE90D3T,nsga2,100,crossover,0.6045660024186102,0.0093181183912679,0.1291413116970926,67,9,67,0.5656422978997198,0.0013600703255875,0.090095525389643,67,1,9,19,67,8.0
37HP1V5VPM,nsga2,100,crossover,0.6731041650740988,0.023566622220844,0.0274509803921567,61,14,61,0.6438383889732199,0.0091058366920435,0.0157894736842104,61,1,15,17,61,9.0
DGO61SVDZU,nsga2,100,crossover,0.6921801669772577,0.0014806660671648,0.1517543859649123,59,10,59,0.6615691310538034,0.0048929359274186,0.0090361445783132,59,1,10,15,59,9.0
77K1MLF0RU,nsga2,100,mutation,0.7188986980555976,0.0067598995317684,0.158200290275762,39,11,39,0.7001139350611267,0.0001990346817933,0.058287795992714,39,1,13,21,39,9.0
QBTWTDB37O,nsga2,100,crossover,0.5725296224359177,0.0434974727898539,0.0164331896551723,56,11,56,0.5429893137608006,0.0314391866116004,0.0050156739811912,56,0,12,16,56,8.0
A2OZE7QMJB,nsga2,100,mutation,0.6970265453357636,0.0088607398679028,0.1166666666666667,47,11,47,0.6751426536840304,0.0007795525036904,0.0341269841269841,47,1,11,20,47,9.0
