id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
JIKLU4QFMV,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,17,2,6.0
4K6VHDXT59,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,18,2,4.0
1MIS3G68Y3,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,11,2,4.0
VTWQYKYZCS,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,12,2,4.0
PNJSG56UHD,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,12,2,5.0
D8QXZVTZ7B,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,11,2,5.0
6BIS1FUMX8,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,16,2,4.0
4AA2IE4S3R,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,13,2,5.0
TV9YDXQHNS,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,19,2,4.0
XN4J65HBG9,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,18,2,5.0
DNUPOXD965,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,19,2,5.0
47LR92887J,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,20,2,5.0
E9OALUI4H5,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,9,2,5.0
924STRZT0L,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,13,2,6.0
IPDQRJCB1K,nsga2,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,10,2,5.0
KFGZIBWRR6,nsga2,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,20,2,4.0
7X7NT1ZPJQ,nsga2,102,crossover,0.3701633427022264,0.0357142857142857,0.5,2,1,2,0.3351960546790612,0.0333333333333333,0.1428571428571429,2,0,3,15,2,5.0
LCGD8WCUUZ,nsga2,102,mutation,0.3701633427022264,0.0357142857142857,0.5,2,1,2,0.3351960546790612,0.0333333333333333,0.1428571428571429,2,1,3,15,2,4.0
7MQR46NGZ1,nsga2,103,crossover,0.1327418192160121,0.1388888888888889,0.0833333333333333,3,2,3,0.0780455542707112,1.0,0.0,3,0,3,15,3,5.0
373QRQ1ZS2,nsga2,103,crossover,0.1327418192160121,0.1388888888888889,0.0833333333333333,3,2,3,0.0780455542707112,1.0,0.0,3,0,3,17,3,5.0
Q22EZ8OSP8,nsga2,104,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,3,4,0.1982162742627269,0.1333333333333333,0.4,4,1,3,11,4,3.0
LLGY0KTRDQ,nsga2,104,crossover,0.1339745962155614,0.15,0.3571428571428571,4,3,4,0.1982162742627269,0.1333333333333333,0.4,4,1,3,13,4,5.0
846HJXLX0N,nsga2,104,inicialization,0.0363758883405684,1.0,0.1428571428571429,3,2,3,0.2010050956715323,0.0333333333333333,0.2888888888888888,3,0,4,6,3,7.0
CV0HSIYAUS,nsga2,104,mutation,0.0363758883405684,1.0,0.1428571428571429,3,2,3,0.2010050956715323,0.0333333333333333,0.2888888888888888,3,0,3,19,3,7.0
AAZFPMUHJU,nsga2,105,inicialization,0.1229419806929708,1.0,0.5,3,2,3,0.2184248414216408,0.2777777777777778,0.0222222222222222,3,0,4,35,3,1.0
80H4DPAKW0,nsga2,105,inicialization,0.0,1.0,0.0,4,3,4,0.1652350155968924,0.1388888888888889,0.0317460317460317,4,1,4,13,4,7.0
AY9KK68RF9,nsga2,105,inicialization,0.2155354594472638,0.1363636363636363,0.4285714285714285,2,1,2,0.263123873816388,0.1666666666666666,0.0505050505050505,2,0,3,13,2,3.0
HB8DPS14IM,nsga2,105,crossover,0.2155354594472638,0.1363636363636363,0.4285714285714285,2,1,2,0.263123873816388,0.1666666666666666,0.0505050505050505,2,0,3,13,2,4.0
ZZ41E9MZAG,nsga2,105,crossover,0.0,1.0,0.0,4,3,4,0.1652350155968924,0.1388888888888889,0.0317460317460317,4,1,4,12,4,7.0
ED9XUA9KTO,nsga2,106,crossover,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,2,0.2680749452886002,0.45,0.0272727272727273,2,0,3,15,2,3.0
5W5GSHEFNT,nsga2,106,inicialization,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,4,13,4,3.0
H2HUSOSW6D,nsga2,106,crossover,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,2,0.2680749452886002,0.45,0.0272727272727273,2,0,3,19,2,3.0
VO7ITLXDQ1,nsga2,106,crossover,0.198959010620139,0.0476190476190476,0.4,4,3,4,0.1339745962155614,0.15,0.0,4,0,3,11,4,3.0
