id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
JDTFSK5RAV,102,crossover,0.31735080674566607,0.027234993614303954,0.059523809523809534,0.041959900554260465,161,0.03692505072471958,18545.25146297572,0.47086649869641195,3
E8I804S5JR,102,crossover,0.29966921011649394,0.13363665389527457,0.005601415094339646,0.16342655909989423,141,0.05829365560075555,23907.954975087716,0.38797218304500675,2
ECXIFUPUKU,102,crossover,0.803883864861816,0.0,0.0,0.004385357777642485,151,0.05052898333013831,51532.274771796845,0.3102389374890667,3
9RHV3AVAC3,102,crossover,0.31102822468892444,0.17614942528735633,0.0013986013986013734,0.18586829530290527,141,0.036327290553350405,34024.32034275326,0.33931924833892807,2
G4PT5A6ZLP,102,inicialization,0.28244750980191136,0.09599297573435506,0.0222537878787879,0.12189301277401565,189,0.02121582363250367,3365.4682749606045,0.7245893589657325,2
C931J99WTT,102,crossover,0.7735445931710809,0.0,0.0,0.005847143703523239,151,0.049812782867229254,56252.817563780074,0.2605809371750598,3
31HLHZE5DM,102,crossover,1.0,0.0,1.0,0.0,151,0.03916132001143592,30166.54704391771,0.3190866616505577,3
U1AB90Y1ZY,102,crossover,1.0,0.0,1.0,0.0,151,0.037264486256613036,14291.881988824323,0.4600903462595748,3
FDT59NYREV,102,crossover,0.299837579103152,0.16071200510855685,0.002271139063591887,0.19489371598163907,163,0.05761381690315207,13063.500724110414,0.511961280725938,4
LRHN2QJ6FT,102,crossover,0.8212153562028275,0.0015485312899106004,0.30000000000000004,0.0022757349073372346,158,0.053402554047372826,47485.63628110841,0.4454722041199102,2
ORU9AAX764,102,crossover,0.3242298694559155,0.13053959131545342,0.0,0.1550323641618817,174,0.03401686919576333,8575.585802412485,0.5889197143804332,2
RHBQRGKQFY,102,mutation,0.8613249509436927,0.0,0.0,0.0002713163271520491,151,0.04046626877853432,46664.65739396969,0.297851753779449,3
WKBBUBO9IQ,102,crossover,0.5361153278766899,0.011510217113665393,0.16045548654244307,0.0006921334876328622,160,0.0434876812455482,39588.41247710924,0.44817799507861844,2
RNJSFZAR9X,102,crossover,0.3141472115901808,0.10676883780332058,0.0008097165991903243,0.12162169644686349,120,0.04629243921888348,29998.66205306393,0.3026693915214827,2
EO0CUZ9FOQ,102,crossover,0.30758897112542516,0.0930874840357599,0.007038795220166982,0.12724182036644316,169,0.06505356778921548,23883.18058637774,0.35490408941718804,3
BWHD80XNS6,102,mutation,0.4434764714912469,0.05348020434227331,0.0,0.08168282567649121,91,0.03211735935149579,18793.686306196065,0.3262829555424583,2
NZZ6FW1Z93,102,crossover,0.7738533259756162,0.004310344827586207,0.2857142857142857,0.0025470512344892837,138,0.04990468108902445,38231.12798934741,0.24598639051760435,5
VFIOGBD8DC,102,crossover,0.48509601950309345,0.013473818646232441,0.007843137254901933,0.024490451326404594,164,0.04246515151711908,16324.822860898183,0.4927667174277837,3
