id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
L22NP1SVT8,101,mutation,0.36005861306936093,0.000882246826166333,0.1385408183190692,0.03962122248051414,79,0.013906724496058016,23338.842623238797,0.2746646607111602,2
E5NAXAG7X4,101,crossover,0.2856403547667611,0.04040965285137664,0.06070954661493588,0.08540726560007295,72,0.0050317681383057235,7680.1104722472555,0.14053577600827863,4
88EA8PDLUC,101,crossover,0.5252976293196343,0.005417502875053555,0.011847555923777953,0.02767432694395955,66,0.008201773405371638,5799.720259026968,0.12366609053073592,8
W7AGHUEW39,101,crossover,0.24441794691802332,0.11429535819784876,0.005411741721207397,0.16581068363349716,80,0.004936974829216485,13129.27434959761,0.18022418701106172,2
L2YMLT6YNU,101,crossover,0.4360796433169548,0.019449244030035853,0.0027920962199312616,0.05445580392693106,83,0.009662663108560994,11551.891101422227,0.2274145351697056,6
PN2OTXOWV1,101,crossover,0.29542168016706083,0.028503901053058833,0.07313034188034195,0.06672109565828244,77,0.011387437087016509,22684.057966976223,0.29131214798586214,2
ANJQZAR5A8,101,crossover,0.6499572078011555,0.0007018513089949714,0.0648683365446372,0.011806801210843987,97,0.03961497833058359,36524.03616617913,0.2566730200668231,9
WAYTMQXLV7,101,mutation,0.367473546357854,0.01544812783277335,0.06055720445079571,0.04123666422674643,76,0.004702727488498535,11511.079287366327,0.2764139073321286,2
AK1ON8L4US,101,mutation,0.4113104055734398,0.005799081674070394,0.06325791855203622,0.023973557698752868,76,0.008652540813019962,35459.723328051325,0.4073987537399558,3
E1OJAQV4T3,101,crossover,0.5789195783426845,0.0009016252508625162,0.0733830845771144,0.022849451554175615,81,0.006372113106384722,4361.18251545528,0.172941653345765,8
Z110MRBQVS,101,mutation,0.5103385794899833,0.002125989356664488,0.07871220467621498,0.024757147491842324,69,0.015499090988657437,16222.755362187612,0.31831594848940714,7
38N3WWVAN1,101,crossover,0.4487220939252192,0.017238694274697274,0.01409313725490191,0.04722184238114768,86,0.005653325498605357,10618.938244815408,0.19276182069489836,6
E8ECNDHTZV,101,mutation,0.41733948658016984,0.009142036101652873,0.1210599123876025,0.005320232838109895,78,0.01852213011794937,15736.036234937943,0.20424611500117235,2
K8AHAAMP6N,101,mutation,0.49938121474427066,0.0062525368119602225,0.02640075973409306,0.03132415279799872,87,0.00733820789544723,23574.065475271935,0.18834406517875787,7
M8N1VQC10E,101,mutation,0.3049070550669759,0.04615764595124812,0.027009728622631846,0.08921059193539316,70,0.015181971216132795,15580.922832417134,0.2930765812165914,4
Z7D2UGR6X7,101,crossover,0.3595819460622207,0.02689795814824001,0.02238550922761451,0.060555604711459377,64,0.009649437945773894,12663.627182364604,0.18649894838844716,5
KRLQEJ61EF,101,crossover,0.2539052081984011,0.10619341499988724,0.0038416075650118398,0.1530875716894169,115,0.04249611423006722,32050.537575960676,0.3003460994911501,4
ZB4OVBL5UF,101,mutation,0.24781577781870578,0.10388808713103478,0.007059206245933702,0.15267533240562736,80,0.005959134679909609,14311.785132256575,0.18791690878302547,2
SQ03V3DWOX,101,mutation,0.2958345244035083,0.06589897569170407,0.025876232201533345,0.11792054439716537,68,0.007524024853148416,15502.4628641914,0.13766467380666833,4
